Best parameters,Validation MSE,Test MSE,Model,Run
{'alpha': 0.1},36.10870182668745,56.44432122967248,Lasso,REY0
{'alpha': 0.01},7.333427871204112,9.909372821681703,Ridge,REY0
"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",6.467309451130664,10.97674595844392,SVR,REY0
{'alpha': 0.7000000000000001},6.783463327530002,9.75362351847451,Lasso,REY0nonStandard
{'alpha': 100},7.594054203964767,9.872187672206799,Ridge,REY0nonStandard
"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",6.481627055219295,9.470990827653146,SVR,REY0nonStandard
{'alpha': 0.1},17.759667242147458,25.040909779460925,Lasso,CAP0
{'alpha': 1},5.56625423231731,13.316995607626087,Ridge,CAP0
"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",4.731562646200986,11.052053522538156,SVR,CAP0
{'alpha': 0.7000000000000001},4.77053921105335,12.2039632512509,Lasso,CAP0nonStandard
{'alpha': 100},4.70214524813368,11.99286584011249,Ridge,CAP0nonStandard
"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",5.623987338934505,15.005040015046433,SVR,CAP0nonStandard
{'alpha': 0.1},36.10870182668745,56.44432122967248,Lasso,REY1
{'alpha': 0.01},7.333427871204112,9.909372821681703,Ridge,REY1
"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",6.467309451130664,10.97674595844392,SVR,REY1
{'alpha': 0.7000000000000001},6.783463327530002,9.75362351847451,Lasso,REY1nonStandard
{'alpha': 100},7.594054203964767,9.872187672206799,Ridge,REY1nonStandard
"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",6.481627055219295,9.470990827653146,SVR,REY1nonStandard
{'alpha': 0.1},17.759667242147458,25.040909779460925,Lasso,CAP1
{'alpha': 1},5.56625423231731,13.316995607626087,Ridge,CAP1
"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",4.731562646200986,11.052053522538156,SVR,CAP1
{'alpha': 0.7000000000000001},4.77053921105335,12.2039632512509,Lasso,CAP1nonStandard
{'alpha': 100},4.70214524813368,11.99286584011249,Ridge,CAP1nonStandard
"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",5.623987338934505,15.005040015046433,SVR,CAP1nonStandard
{'alpha': 0.1},36.10870182668745,56.44432122967248,Lasso,REY2
{'alpha': 0.01},7.333427871204112,9.909372821681703,Ridge,REY2
"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",6.467309451130664,10.97674595844392,SVR,REY2
{'alpha': 0.7000000000000001},6.783463327530002,9.75362351847451,Lasso,REY2nonStandard
{'alpha': 100},7.594054203964767,9.872187672206799,Ridge,REY2nonStandard
"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",6.481627055219295,9.470990827653146,SVR,REY2nonStandard
{'alpha': 0.1},17.759667242147458,25.040909779460925,Lasso,CAP2
{'alpha': 1},5.56625423231731,13.316995607626087,Ridge,CAP2
"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",4.731562646200986,11.052053522538156,SVR,CAP2
{'alpha': 0.7000000000000001},4.77053921105335,12.2039632512509,Lasso,CAP2nonStandard
{'alpha': 100},4.70214524813368,11.99286584011249,Ridge,CAP2nonStandard
"{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}",5.623987338934505,15.005040015046433,SVR,CAP2nonStandard
{'alpha': 0.1},36.10870182668745,56.44432122967248,Lasso,REY3
{'alpha': 0.01},7.333427871204112,9.909372821681703,Ridge,REY3
"{'C': 1000, 'gamma': 0.001, 'kernel': 'rbf'}",6.467309451130664,10.97674595844392,SVR,REY3
{'alpha': 0.7000000000000001},6.783463327530002,9.75362351847451,Lasso,REY3nonStandard
{'alpha': 100},7.594054203964767,9.872187672206799,Ridge,REY3nonStandard
"{'C': 100, 'gamma': 0.0001, 'kernel': 'rbf'}",6.481627055219295,9.470990827653146,SVR,REY3nonStandard
{'alpha': 0.1},17.759667242147458,25.040909779460925,Lasso,CAP3
{'alpha': 1},5.56625423231731,13.316995607626087,Ridge,CAP3
"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",4.731562646200986,11.052053522538156,SVR,CAP3
{'alpha': 0.7000000000000001},4.77053921105335,12.2039632512509,Lasso,CAP3nonStandard
{'alpha': 100},4.70214524813368,11.99286584011249,Ridge,CAP3nonStandard
